Epoch,Train Loss,Train Accuracy,Test Accuracy
1,-1.2147233942449094,0.7666,0.904
2,-2.9215181253612044,0.88,0.905
3,-4.592492682179809,0.8912,0.913
4,-6.201469707226753,0.8995,0.8955
5,-7.7002400375425815,0.9063,0.9145
6,-8.994189592045545,0.9058,0.9195
7,-10.267972823366522,0.9125,0.9215
8,-11.436387604168058,0.9162,0.9215
9,-12.39658956129253,0.9158,0.9245
10,-13.371748806005716,0.9183,0.933
11,-14.142968757456542,0.9193,0.9295
12,-15.035142630136013,0.9228,0.937
13,-15.710674703529477,0.9246,0.9385
14,-16.354778081706165,0.9245,0.9355
15,-16.97019288152754,0.9283,0.935
16,-17.428710485112667,0.9261,0.938
17,-17.963242536884547,0.9285,0.9415
18,-18.511635899424554,0.9322,0.926
19,-18.83171471211612,0.9309,0.941
20,-19.214618333500624,0.9325,0.9405
21,-19.458075393158197,0.9305,0.941
22,-19.781628057789803,0.9334,0.942
23,-19.945464957177638,0.9319,0.944
24,-20.20002300915122,0.9331,0.9375
25,-20.353905893439055,0.9325,0.9405
26,-20.735780077219008,0.9366,0.939
27,-20.880929557421805,0.9356,0.943
28,-21.05858654150367,0.9362,0.9425
29,-20.99283543484211,0.9313,0.9435
30,-21.26835582101643,0.9375,0.9435
31,-21.315034596732257,0.9331,0.943
32,-21.44377637027502,0.9334,0.9415
33,-21.527650504094364,0.9344,0.9425
34,-21.593912203562258,0.9357,0.9425
35,-21.63814472643733,0.9345,0.9415
36,-21.770328773653507,0.9355,0.944
37,-21.985837337523698,0.9394,0.944
38,-22.001988821268082,0.9394,0.9425
39,-22.024079281777144,0.9388,0.9415
40,-21.916858833301067,0.9343,0.9425
41,-22.0411939915061,0.9362,0.943
42,-22.12123128156662,0.9372,0.944
43,-22.132510773330928,0.9378,0.9425
44,-22.17402410173416,0.9383,0.9435
45,-22.16129778624177,0.9374,0.943
46,-22.15955330194831,0.9365,0.9425
47,-22.24801114216447,0.9382,0.943
48,-22.229474831545353,0.9374,0.943
49,-22.185931917965412,0.9358,0.943
50,-22.197434022349118,0.9364,0.9425
51,-22.293948984253408,0.9385,0.943
52,-22.33431577704549,0.9388,0.943
53,-22.31993627923131,0.9357,0.9425
54,-22.289977953723074,0.9362,0.9435
55,-22.362949195092916,0.9384,0.943
56,-22.359395226860045,0.9383,0.943
57,-22.38819970296621,0.9386,0.943
58,-22.333243372350932,0.9372,0.9425
59,-22.38956015676856,0.9383,0.9425
60,-22.386117426031827,0.9382,0.943
61,-22.477963859009744,0.9405,0.943
62,-22.386911282658577,0.9382,0.943
63,-22.308594147220255,0.938,0.943
64,-22.361164806365966,0.938,0.9425
65,-22.40814343673587,0.9387,0.943
66,-22.357531711888313,0.937,0.943
67,-22.375981820976733,0.9395,0.9435
68,-22.378821043294668,0.9387,0.943
69,-22.445261740911008,0.9381,0.943
70,-22.33298889786005,0.9377,0.943
71,-22.32643872127533,0.9366,0.9435
72,-22.391284923368694,0.9393,0.943
73,-22.446812171804904,0.9402,0.943
74,-22.393787741065026,0.9391,0.9435
75,-22.39239034599066,0.94,0.943
76,-22.398449480476977,0.9391,0.943
77,-22.32559365378022,0.9379,0.9435
78,-22.39362017894983,0.9383,0.9435
79,-22.427350291836262,0.9405,0.9435
80,-22.328583004415034,0.9377,0.9435
81,-22.390416828852892,0.9383,0.9435
82,-22.341458588778973,0.9381,0.9435
83,-22.381501039853692,0.938,0.9435
84,-22.35246982718408,0.938,0.9435
85,-22.40469705786109,0.9386,0.9435
86,-22.321821032592656,0.9374,0.9435
87,-22.2743367665112,0.9362,0.9435
88,-22.353590309140085,0.9379,0.9435
89,-22.293356864249706,0.9366,0.9435
90,-22.466009503126145,0.9407,0.9435
91,-22.232558752933144,0.9364,0.9435
92,-22.374269683134557,0.9385,0.9435
93,-22.31864000325203,0.9373,0.9435
94,-22.351854633799196,0.9376,0.9435
95,-22.381034065002204,0.939,0.9435
96,-22.380674497526883,0.9391,0.9435
97,-22.28703430631757,0.936,0.9435
98,-22.333221061515808,0.936,0.9435
99,-22.415367032164337,0.9384,0.9435
100,-22.444168483227493,0.94,0.9435
