Epoch,Train Loss,Train Accuracy,Test Accuracy
1,-1.5094715788796544,0.7921,0.896
2,-3.457504754708707,0.8772,0.8965
3,-5.182756483444572,0.8888,0.906
4,-6.730079287731647,0.8961,0.9095
5,-8.172758159627021,0.9022,0.908
6,-9.504071413117646,0.9044,0.913
7,-10.724876437407731,0.9085,0.917
8,-11.896634353533388,0.9146,0.914
9,-12.902315476006269,0.9149,0.9155
10,-13.891090814477206,0.9201,0.9155
11,-14.705498254314065,0.9191,0.9215
12,-15.42579159334302,0.9202,0.922
13,-16.256373550188542,0.9249,0.925
14,-16.881307965511084,0.9259,0.922
15,-17.340867990481854,0.9227,0.925
16,-18.00658140977919,0.9295,0.926
17,-18.551033106032015,0.9334,0.929
18,-18.930610006153582,0.9316,0.913
19,-19.248379658317567,0.9289,0.9265
20,-19.643946337756514,0.9315,0.9245
21,-19.93811172324419,0.9314,0.9245
22,-20.28113045448065,0.9332,0.927
23,-20.644875555671753,0.9369,0.929
24,-20.75900053987801,0.933,0.9285
25,-21.03875190959871,0.9352,0.9295
26,-21.24904136914611,0.9361,0.931
27,-21.520693727998434,0.9379,0.9275
28,-21.541006187312306,0.9366,0.9295
29,-21.721492673955858,0.9368,0.93
30,-21.757959476336836,0.9356,0.9285
31,-22.016003809347747,0.9387,0.929
32,-22.15309241626859,0.9401,0.9295
33,-22.112730662342905,0.9377,0.9305
34,-22.200508163042368,0.9372,0.932
35,-22.281848983800412,0.9365,0.9315
36,-22.35070253933966,0.9374,0.93
37,-22.50717064228207,0.9401,0.932
38,-22.49126903010458,0.9384,0.932
39,-22.572970092502235,0.9387,0.9315
40,-22.542510317224263,0.9361,0.9315
41,-22.585185781106354,0.9383,0.9305
42,-22.753658529950677,0.9401,0.9305
43,-22.73732121374458,0.9409,0.929
44,-22.84578941215277,0.9411,0.93
45,-22.798447473448515,0.9394,0.9295
46,-22.9179643738091,0.9411,0.9295
47,-22.801373996877672,0.9392,0.93
48,-22.906966833963992,0.9418,0.9295
49,-22.821538686534762,0.9378,0.9305
50,-22.88828693486154,0.9412,0.9305
51,-22.910925923632085,0.9404,0.93
52,-22.86409283732176,0.938,0.9295
53,-22.931089664550125,0.9408,0.929
54,-23.024882740291954,0.9414,0.9295
55,-22.930787883275748,0.9383,0.9295
56,-23.02609194857776,0.9408,0.929
57,-22.91801377080083,0.9387,0.9295
58,-22.9968595613271,0.9393,0.9305
59,-22.950820220543445,0.9401,0.931
60,-22.860075974136592,0.9375,0.931
61,-22.99570876648426,0.9394,0.931
62,-22.917010495725275,0.939,0.931
63,-23.03463396897018,0.9406,0.93
64,-22.941332625576855,0.9385,0.9305
65,-22.929761036354304,0.9379,0.931
66,-22.973146099315585,0.9409,0.93
67,-23.046358563748,0.9427,0.93
68,-22.963635003596544,0.9398,0.93
69,-22.838995305231215,0.9369,0.9305
70,-22.936690641397238,0.9386,0.93
71,-22.998282829374077,0.9394,0.93
72,-23.025274424898626,0.9384,0.93
73,-22.937347703373433,0.9393,0.93
74,-22.934446167969703,0.9394,0.93
75,-23.106701928000152,0.9432,0.9295
76,-22.907230194942652,0.9394,0.9295
77,-22.97827255497575,0.9411,0.9295
78,-22.989256182572245,0.9387,0.9295
79,-22.974724696058036,0.941,0.9295
80,-22.948492405116557,0.9398,0.929
81,-22.939308848652242,0.9398,0.929
82,-22.937422233229874,0.9404,0.929
83,-22.847895166245102,0.9372,0.929
84,-22.942510657384993,0.9389,0.929
85,-23.01942411623895,0.9408,0.929
86,-22.93956435365379,0.9394,0.9295
87,-23.002999868962167,0.9409,0.929
88,-22.979771571725607,0.9398,0.929
89,-22.965463567110895,0.9399,0.929
90,-22.885257922126353,0.9379,0.929
91,-22.92667734929025,0.94,0.929
92,-22.950154108330608,0.9403,0.929
93,-22.977747359769047,0.9411,0.929
94,-22.9831737726748,0.9404,0.929
95,-22.913054855397345,0.9394,0.929
96,-23.011330109401047,0.9406,0.929
97,-23.0017814458102,0.9409,0.929
98,-23.002195701226594,0.9393,0.929
99,-22.835145346105097,0.9354,0.929
100,-22.93931982449889,0.9397,0.929
