Epoch,Train Loss,Train Accuracy,Test Accuracy
1,-2.08791907659173,0.8494,0.5
2,-3.23145508993566,0.7917,0.5045
3,-4.406742104771733,0.8013,0.534
4,-5.416365288102627,0.8059,0.5855
5,-6.32883144159019,0.8105,0.6385
6,-7.125470577946305,0.8148,0.675
7,-7.837285244455933,0.8147,0.707
8,-8.470697483113408,0.8175,0.733
9,-9.037458633255959,0.8174,0.7525
10,-9.545638759636878,0.8164,0.7705
11,-10.002128123095632,0.8159,0.7775
12,-10.412787485677004,0.8165,0.7845
13,-10.782663211292029,0.8157,0.793
14,-11.116110431152583,0.8173,0.792
15,-11.417003743904829,0.8168,0.7935
16,-11.68867360829413,0.8164,0.795
17,-11.934027407103777,0.8161,0.7965
18,-12.155733381590247,0.8161,0.798
19,-12.35612656968832,0.8155,0.801
20,-12.53718144390881,0.8147,0.8025
21,-12.700858604636789,0.8143,0.8025
22,-12.848768590271472,0.8137,0.8045
23,-12.982295086351037,0.8131,0.805
24,-13.102972116202116,0.8131,0.8045
25,-13.212003050604462,0.8138,0.805
26,-13.310342650416493,0.8139,0.804
27,-13.399197906807064,0.8139,0.8055
28,-13.479379716697336,0.8133,0.807
29,-13.551767346030474,0.8138,0.806
30,-13.617010425651074,0.814,0.806
31,-13.675867162871361,0.8141,0.806
32,-13.729007688775658,0.8139,0.807
33,-13.776872886645794,0.8139,0.807
34,-13.82002222969532,0.8141,0.8065
35,-13.858994199684263,0.8141,0.8065
36,-13.893958218577504,0.8138,0.8055
37,-13.925605462932587,0.8139,0.8055
38,-13.954079698622227,0.8139,0.8055
39,-13.979687834376097,0.814,0.8055
40,-14.002904198420048,0.8139,0.8055
41,-14.023758493039011,0.8138,0.8055
42,-14.042477751812338,0.8138,0.8055
43,-14.059404894980789,0.8139,0.8055
44,-14.074664462769032,0.8138,0.8055
45,-14.088404908561706,0.8139,0.805
46,-14.100491543143988,0.814,0.805
47,-14.111118223041297,0.8141,0.805
48,-14.120862413582206,0.8141,0.806
49,-14.130010977458953,0.814,0.8055
50,-14.138940177562834,0.814,0.8055
51,-14.147489115092158,0.814,0.805
52,-14.155538304522633,0.8143,0.805
53,-14.162855605950952,0.8143,0.805
54,-14.169084856188297,0.8143,0.805
55,-14.174021062272788,0.8143,0.8055
56,-14.177390308058262,0.8143,0.806
57,-14.179244753703475,0.8143,0.806
58,-14.180035640648008,0.8143,0.806
59,-14.180268560868502,0.8143,0.806
60,-14.180373079332709,0.8142,0.806
61,-14.180406485652924,0.8142,0.806
62,-14.180577093121409,0.8142,0.806
63,-14.18060024484098,0.8141,0.806
64,-14.18064731347859,0.8141,0.8065
65,-14.180752703291178,0.8141,0.8065
66,-14.180809241625667,0.8141,0.8065
67,-14.180886041024328,0.8141,0.8065
68,-14.18087895230055,0.8141,0.8065
69,-14.180875903519988,0.8141,0.8065
70,-14.180939427304267,0.8141,0.8065
71,-14.180951615998149,0.8141,0.8065
72,-14.18099540371895,0.8139,0.8065
73,-14.181067143580318,0.814,0.8065
74,-14.181109063202143,0.814,0.8065
75,-14.18114169743359,0.814,0.8065
76,-14.181156468474866,0.814,0.8065
77,-14.181136644330621,0.814,0.8065
78,-14.181124275499583,0.814,0.8065
79,-14.18106282851696,0.814,0.8065
80,-14.181037742045522,0.814,0.8065
81,-14.181056251105666,0.814,0.8065
82,-14.18107509675622,0.8141,0.8065
83,-14.181146572735905,0.8141,0.8065
84,-14.181208164969087,0.8141,0.8065
85,-14.181260459217429,0.8141,0.8065
86,-14.181279435917736,0.8141,0.8065
87,-14.181279984593392,0.8141,0.8065
88,-14.181280332669616,0.8141,0.8065
89,-14.18128161958754,0.8141,0.8065
90,-14.181281335705519,0.8141,0.8065
91,-14.181280952173472,0.8141,0.8065
92,-14.181282058340312,0.8141,0.8065
93,-14.181282103723287,0.8141,0.8065
94,-14.181281981164217,0.8141,0.8065
95,-14.181281914493441,0.8141,0.8065
96,-14.181281929039955,0.8141,0.8065
97,-14.181282009935378,0.8141,0.8065
98,-14.181282104170322,0.8141,0.8065
99,-14.181282149457932,0.8141,0.8065
100,-14.181282154217362,0.8141,0.8065
