Epoch,Train Loss,Train Accuracy,Test Accuracy
1,-1.9887157492145895,0.7482,0.5
2,-3.081920090587996,0.7841,0.5
3,-4.5793853970199825,0.7928,0.5285
4,-5.821788455469162,0.8103,0.56
5,-6.800132643838413,0.8133,0.59
6,-7.562587747507915,0.8113,0.6295
7,-8.24752979765199,0.8119,0.6705
8,-8.871422124197334,0.8138,0.7
9,-9.44012083868552,0.8149,0.727
10,-9.955031873621046,0.8165,0.7445
11,-10.420048722039164,0.8163,0.765
12,-10.838941944941878,0.8174,0.774
13,-11.21597688010335,0.8171,0.783
14,-11.555500921672582,0.8176,0.7855
15,-11.86141945195496,0.8163,0.7925
16,-12.13727605008781,0.817,0.793
17,-12.38613852596283,0.8154,0.795
18,-12.610775005578995,0.8159,0.7955
19,-12.813569141113758,0.8153,0.797
20,-12.996674411308765,0.8155,0.7975
21,-13.162048682710529,0.8147,0.799
22,-13.311420295435191,0.8146,0.8015
23,-13.446222688141464,0.8146,0.8025
24,-13.567925813868642,0.8141,0.8035
25,-13.67781403748393,0.814,0.8035
26,-13.77694249101281,0.8142,0.802
27,-13.866372601908445,0.8142,0.8035
28,-13.947084083259107,0.8142,0.805
29,-14.01988395356238,0.8138,0.806
30,-14.085492753449083,0.8137,0.806
31,-14.144662131914496,0.8135,0.806
32,-14.198056309959293,0.8136,0.805
33,-14.246173188334703,0.8144,0.8045
34,-14.289529384541511,0.8144,0.8055
35,-14.328597715079784,0.8141,0.8055
36,-14.363801188805699,0.8145,0.805
37,-14.395526433134078,0.8143,0.806
38,-14.424106805455684,0.8147,0.805
39,-14.44983922406733,0.8151,0.8055
40,-14.473066510778665,0.815,0.8055
41,-14.493942392626405,0.8149,0.8065
42,-14.512743217089772,0.815,0.8065
43,-14.52967868463099,0.8149,0.8065
44,-14.545032916590571,0.8152,0.807
45,-14.558805394217371,0.8152,0.8065
46,-14.570919748166203,0.8153,0.8065
47,-14.581587032851576,0.8153,0.8065
48,-14.591292016109824,0.8154,0.807
49,-14.600517374706268,0.8154,0.807
50,-14.609438636627793,0.8155,0.8065
51,-14.61800484894514,0.8156,0.8065
52,-14.626061006164552,0.8157,0.8065
53,-14.633378631484508,0.8155,0.8065
54,-14.639650523999334,0.8155,0.8065
55,-14.644587521490454,0.8154,0.8065
56,-14.647952816092968,0.8153,0.8065
57,-14.64983821196556,0.8153,0.8065
58,-14.650602028006315,0.8152,0.8065
59,-14.650855662843584,0.8152,0.8065
60,-14.65096877503395,0.8152,0.8065
61,-14.651064510941506,0.8153,0.8065
62,-14.651152230212093,0.8153,0.8065
63,-14.651225696402788,0.8153,0.8065
64,-14.651293721222878,0.8153,0.8065
65,-14.651356364157795,0.8153,0.8065
66,-14.651412855365873,0.8153,0.8065
67,-14.65146516009271,0.8153,0.8065
68,-14.65150761308372,0.8153,0.8065
69,-14.651550898134708,0.8153,0.8065
70,-14.651586538818478,0.8153,0.8065
71,-14.651619139134883,0.8153,0.8065
72,-14.651650672367214,0.8153,0.8065
73,-14.651676392030716,0.8153,0.807
74,-14.651698554214835,0.8153,0.807
75,-14.651718391922117,0.8153,0.807
76,-14.651741791576146,0.8153,0.807
77,-14.65176292373836,0.8153,0.807
78,-14.651776930725575,0.8153,0.807
79,-14.651793711346388,0.8153,0.807
80,-14.651806446152925,0.8153,0.807
81,-14.651818956193328,0.8153,0.807
82,-14.651832514095306,0.8153,0.807
83,-14.65184201745689,0.8153,0.807
84,-14.651850830504298,0.8153,0.807
85,-14.651857328629493,0.8153,0.807
86,-14.651865465319156,0.8153,0.807
87,-14.651870052111148,0.8153,0.807
88,-14.6518764277637,0.8153,0.807
89,-14.651881936782598,0.8153,0.807
90,-14.651886572182178,0.8153,0.807
91,-14.651890388259291,0.8153,0.807
92,-14.651894539174437,0.8153,0.807
93,-14.651897090429067,0.8153,0.807
94,-14.651898208585381,0.8153,0.807
95,-14.651903002619743,0.8153,0.807
96,-14.651903729704022,0.8153,0.807
97,-14.65190525174439,0.8153,0.807
98,-14.651908600595593,0.8153,0.807
99,-14.65191029188633,0.8153,0.807
100,-14.651912420415877,0.8153,0.807
