Epoch,Train Loss,Train Accuracy,Test Accuracy
1,-0.8363557244330774,0.682747729964469,0.8425531914893617
2,-2.316131712999261,0.9812080536912752,0.7224586288416076
3,-3.3608190281726227,0.9715752072641137,0.7943262411347518
4,-4.439578687819953,0.9774180813264903,0.810401891252955
5,-5.286898656200619,0.9805763916304777,0.8392434988179669
6,-6.047783175566146,0.9827082510856692,0.857210401891253
7,-6.729738834286178,0.9832609553888669,0.8765957446808511
8,-7.34119011971598,0.9842084484800632,0.8964539007092198
9,-7.889454498325842,0.9841294907224635,0.9120567375886525
10,-8.380882474752728,0.9839715752072641,0.9210401891252955
11,-8.821245441267225,0.9836557441768654,0.9328605200945627
12,-9.215716662099442,0.9829451243584683,0.941371158392435
13,-9.569130511110243,0.9820765890248717,0.9479905437352246
14,-9.885633111734972,0.9813659692064746,0.9513002364066194
15,-10.169081307026387,0.9806553493880774,0.9527186761229315
16,-10.423085504817635,0.9801816028424792,0.9546099290780142
17,-10.65041444727256,0.9793920252664824,0.9593380614657211
18,-10.854343205863339,0.9787603632056849,0.9607565011820332
19,-11.037047705133112,0.9779707856296881,0.9626477541371158
20,-11.200783707527977,0.9776549545992894,0.9654846335697399
21,-11.348387964615767,0.9771812080536912,0.9650118203309692
22,-11.481036056963484,0.9760757994472957,0.968321513002364
23,-11.600317962632978,0.9756810106592972,0.9687943262411347
24,-11.706895654772376,0.9752862218712989,0.9702127659574468
25,-11.801605477610266,0.9750493485984998,0.9716312056737588
26,-11.886498227429588,0.9744176865377023,0.9721040189125295
27,-11.964352028060704,0.9741018555073035,0.9721040189125295
28,-12.033526481180337,0.9738649822345046,0.9721040189125295
29,-12.09700552361947,0.9735491512041058,0.9730496453900709
30,-12.152769163755668,0.9733912356889064,0.9735224586288416
31,-12.20408512108584,0.9733122779313067,0.9735224586288416
32,-12.248427974328287,0.9733122779313067,0.9735224586288416
33,-12.289832460954402,0.9730754046585077,0.9735224586288416
34,-12.327571591397213,0.9729174891433083,0.9735224586288416
35,-12.359318207567311,0.9728385313857086,0.9739952718676123
36,-12.388485332383405,0.9728385313857086,0.9739952718676123
37,-12.416199980203784,0.9726806158705092,0.9749408983451536
38,-12.442107717369886,0.9726016581129096,0.9749408983451536
39,-12.465347251789023,0.9725227003553099,0.975886524822695
40,-12.482564857032663,0.9725227003553099,0.975886524822695
41,-12.499075994759128,0.9724437425977103,0.975886524822695
42,-12.515242201781678,0.9723647848401106,0.975886524822695
43,-12.530473363661878,0.9722858270825109,0.975886524822695
44,-12.544920034434218,0.9722858270825109,0.975886524822695
45,-12.559296799550827,0.9722068693249112,0.975886524822695
46,-12.572488039515491,0.9722068693249112,0.9768321513002364
47,-12.584582759949985,0.9721279115673115,0.9773049645390071
48,-12.595184872065003,0.9721279115673115,0.9773049645390071
49,-12.604039479848005,0.9721279115673115,0.9773049645390071
50,-12.609356844824056,0.9721279115673115,0.9773049645390071
51,-12.610509245587675,0.9721279115673115,0.9773049645390071
52,-12.611746901469036,0.9720489538097118,0.9773049645390071
53,-12.611788022953487,0.9720489538097118,0.9773049645390071
54,-12.612159087100943,0.9720489538097118,0.9773049645390071
55,-12.611941095075963,0.9720489538097118,0.9773049645390071
56,-12.61192879363618,0.9719699960521121,0.9773049645390071
57,-12.611619958529772,0.9719699960521121,0.9773049645390071
58,-12.612234620355213,0.9718910382945124,0.9773049645390071
59,-12.612044162386452,0.9718910382945124,0.9773049645390071
60,-12.611714541373214,0.9718910382945124,0.9773049645390071
61,-12.612272724616306,0.9718910382945124,0.9773049645390071
62,-12.612144102106159,0.9718910382945124,0.9773049645390071
63,-12.611899207244736,0.9718910382945124,0.9773049645390071
64,-12.611754258230558,0.9718910382945124,0.9773049645390071
65,-12.611671325498497,0.9718910382945124,0.9773049645390071
66,-12.612645863031286,0.9718910382945124,0.9773049645390071
67,-12.612694238212756,0.9718910382945124,0.9773049645390071
68,-12.612599666943156,0.9718910382945124,0.9773049645390071
69,-12.612444345726592,0.9718910382945124,0.9773049645390071
70,-12.61222042390776,0.9718910382945124,0.9773049645390071
71,-12.611878459456172,0.9718910382945124,0.9773049645390071
72,-12.611616582180783,0.9718910382945124,0.9773049645390071
73,-12.611430773459025,0.9718910382945124,0.9773049645390071
74,-12.611339505713916,0.9718910382945124,0.9773049645390071
75,-12.61149841730909,0.9718910382945124,0.9773049645390071
76,-12.611882811692972,0.9718910382945124,0.9773049645390071
77,-12.612370090589568,0.9718910382945124,0.9773049645390071
78,-12.612542831849497,0.9718910382945124,0.9773049645390071
79,-12.61263311427194,0.9718910382945124,0.9773049645390071
80,-12.612682954258144,0.9718910382945124,0.9773049645390071
81,-12.6127095141408,0.9719699960521121,0.9773049645390071
82,-12.61273349714971,0.9719699960521121,0.9773049645390071
83,-12.61275587602538,0.9719699960521121,0.9773049645390071
84,-12.61277568940113,0.9719699960521121,0.9773049645390071
85,-12.612787797899996,0.9719699960521121,0.9773049645390071
86,-12.612800019846526,0.9719699960521121,0.9773049645390071
87,-12.612811891678714,0.9719699960521121,0.9773049645390071
88,-12.612824941714479,0.9719699960521121,0.9773049645390071
89,-12.612838429281988,0.9719699960521121,0.9773049645390071
90,-12.612851228749992,0.9719699960521121,0.9773049645390071
91,-12.612862559810628,0.9719699960521121,0.9773049645390071
92,-12.612873329569876,0.9719699960521121,0.9773049645390071
93,-12.612882951452617,0.9719699960521121,0.9773049645390071
94,-12.612890810068539,0.9719699960521121,0.9773049645390071
95,-12.612897127903219,0.9719699960521121,0.9773049645390071
